"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-02-23","11.41"," 0127","0.00",,"62","38","  270","  200","19.9","23.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-02-24","8.95"," 1104","0.15",,"64","37","  190","  140","18.1","25.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-02-25","17.90"," 1704","0.01",,"54","23","  280","  280","32.0","38.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-02-26","12.30"," 1530","0.00",,"40","21","  200","  190","21.9","31.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-02-27","6.26"," 0015","0.00",,"50","31","  230","  230","16.1","21.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-02-28","9.17"," 0843","0.37",,"56","38","  140","  140","17.0","21.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-01","16.11"," 1546","0.44",,"57","23","  260","  270","35.1","52.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-02","13.87"," 0219","0.00",,"29","21","  290","  320","25.1","32.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-03","11.86"," 1110","0.00",,"25","17","  270","  300","21.9","30.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-04","4.70"," 1842","0.00",,"31","12","  140","  130","14.1","17.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-05","12.30"," 1051","0.00",,"40","20","  130","  120","21.0","27.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-06","10.51"," 1635","0.01",,"57","38","  180","  180","21.0","29.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-07","14.32"," 0515","0.15",,"58","39","  270","  190","29.1","38.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-08","24.16"," 1537","0.00",,"49","37","  270","  270","48.1","59.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-09","9.84"," 0310","0.00",,"41","32","  270","  290","25.1","33.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-10","17.45"," 1640","0.00",,"34","13","  300","  310","29.1","36.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-11","12.97"," 1231","0.00",,"27","11","  290","  280","23.0","28.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-12","8.72"," 0240","0.00",,"30","14","  310","  330","16.1","21.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-13","10.29"," 1525","0.01",,"22","19","   60","   50","18.1","23.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-14","13.65"," 1538","0.00",,"22","12","  350","  360","25.9","35.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-15","17.00"," 1344","0.00",,"29","13","  310","  290","28.0","36.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-16","8.72"," 0029","0.00",,"38","16","  280","  300","17.0","21.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-17","6.26"," 0938","0.08",,"37","19","  140","  170","17.0","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-18","6.04"," 1121","0.10",,"37","32","  320","  320","15.0","18.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-19","5.82"," 2014","0.00",,"46","30","   10","  220","13.0","17.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-20","3.80"," 0501","0.07",,"48","33","  160","  160","12.1","16.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-21","13.87"," 1756","0.00",,"53","24","  360","  360","28.0","36.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-22","8.72"," 0009","0.00",,"35","19","  350","  350","25.1","33.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-23","9.17"," 1624","0.05",,"43","21","  140","  140","18.1","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-24","11.86"," 1743","0.30",,"74","23","  250","  330","21.9","31.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-25","9.17"," 2015","0.66",,"43","38","   40","  100","18.1","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-26","6.71"," 1021","0.20",,"50","37","  150","  170","13.0","21.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-27","7.16"," 0955","0.00",,"58","49","  240","  250","15.0","19.9",,,,,,,
